slug,artistname,year,date,date-added,series,venue,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,notes
dean-wareham,Dean Wareham,2022,Thu Jan 27 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Oran Mor, Glasgow, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://oran-mor.co.uk/whats-on/event/dean-wareham/,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Fri Jan 28 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"The Liquid Room, Edinburgh, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.ticketweb.uk/event/dean-wareham-plays-galaxie-500-the-liquid-room-tickets/10242715,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Sat Jan 29 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"The Cluny 2, Newcastle, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://thecluny.com/listing/dean-wareham-plays-galaxie-500/,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Sun Jan 30 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Brudenell Social Club, Leeds, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,http://www.brudenellsocialclub.co.uk/whats-on/dean-wareham-2/,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Wed Feb 02 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"The Rescue Rooms, Nottingham, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.rescuerooms.com/gigs/dean-wareham/,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Thu Feb 03 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Fiddlers Club, Bristol, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,http://www.fiddlers.co.uk/whatson.html,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Fri Feb 04 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Islington Assembly Hall, London, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://islingtonassemblyhall.co.uk/events/dean-wareham-plays-galaxie-500-21st-apr-islington-assembly-hall-london-tickets/,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Sat Feb 05 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Concorde 2, Brighton, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,,,"Dean Wareham plays Galaxie 500’s On Fire + more.Show moved to The Venue, Worthing"
dean-wareham,Dean Wareham,2022,Sat Feb 05 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Wed Nov 17 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"The Venue, Worthing, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.seetickets.com/event/dean-wareham-plays-galaxie-500/the-venue/1473012,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Mon Feb 07 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Petit Bain, Paris, France",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://petitbain.org/events/dean-wareham-pmays-galaxie-500-on-fire-more/,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Tue Feb 08 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Gebaude 9, Cologne, Germany",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.gebaeude9.de/vorverkauf.html,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Wed Feb 09 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Lido, Berlin, Germany",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.lido-berlin.de/events/2022-02-09-galaxie-500,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Sun Feb 13 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"John Dee, Oslo, Norway",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.rockefeller.no/jd130222.html,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Thu Feb 17 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Sala X, Seville, Spain",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://houstonpartymusic.com/tour-dates/293/,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Sat Feb 19 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Las Cigarreras, Alicante, Spain",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://houstonpartymusic.com/tour-dates/298/,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Sun Feb 20 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"[tba], Valencia, Spain",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://houstonpartymusic.com/tour-dates/295/,,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2022,Tue Feb 22 2022 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Oct 09 2021 00:00:00 GMT+0100 (British Summer Time),Dean Wareham plays Galaxie 500,"Sala Laut, Barcelona, Spain",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://houstonpartymusic.com/tour-dates/296/,,Dean Wareham plays Galaxie 500’s On Fire + more.
